Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Абакан;2018;63,39;60,98;69,46;88,62;83,81;64,99;49,64;70,26;87,35;;;;
Айхал;2018;***;***;***;***;***;***;***;***;***;;;;
Алдан;2018;***;***;***;***;***;***;***;***;***;;;;
Амдерма;2018;***;***;***;***;***;***;***;***;***;;;;
Анадырь;2018;112,58;267,65;221,77;331,37;160,45;89,77;109,29;95,99;103,77;;;;
Анапа(Витязево);2018;43,38;50,43;50,43;61,64;63,94;77,29;82,3;81,2;75;;;;
Апатиты(Хибины);2018;***;***;***;***;***;***;***;***;***;;;;
Архангельск(Васьково);2018;***;***;***;***;***;***;***;***;***;;;;
Архангельск(Талаги);2018;119,56;130,61;166,54;211,94;214,98;132,86;122,48;165,11;121,52;;;;
Астрахань(Нариманово);2018;47,67;53,47;63,11;69,69;66,51;53,62;68,75;77,58;76;;;;
Аян;2018;***;***;***;***;***;***;***;2,1;5,54;;;;
Барнаул(Имени Г.С.Титова);2018;***;***;***;***;***;***;***;244,4;232,6;;;;
Батагай;2018;***;***;***;***;***;***;***;***;***;;;;
Белая Гора;2018;***;***;***;***;***;***;***;***;***;;;;
Белгород;2018;***;***;***;***;***;***;***;3,7;4,41;;;;
Белоярский;2018;6,5;3,9;6,5;9,6;11,7;4,9;7;9,2;4,2;;;;
Белушье;2018;***;***;***;***;***;***;***;***;***;;;;
Березово;2018;***;***;***;***;***;***;***;***;***;;;;
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2018;***;***;***;***;***;***;***;***;***;;;;
Благовещенск;2018;195,2;173,1;200,2;186,9;199,3;185,6;178,8;206,3;214,4;;;;
Бованенково;2018;***;***;***;***;***;***;***;***;***;;;;
Богородское;2018;***;***;***;***;***;***;***;0,31;0,17;;;;
Бодайбо;2018;***;***;***;***;***;***;***;***;***;;;;
Братск;2018;***;***;***;***;***;***;***;***;***;;;;
Брянск;2018;***;***;***;***;***;***;***;***;***;;;;
